row_number;date_bibliography;bibliography_id;db_variation_id;origin;phenotype;replicated;title;publication;databank_id;date_id
2702;1992-01-01T00:00:00.000Z;1638703;rs121913631;Not available;Not available;Not available;Differences in clinical expression of hypertrophic cardiomyopathy associated with two distinct mutations in the beta-myosin heavy chain gene. A 908Leu----Val mutation and a 403Arg----Gln mutation.;Circulation;4;4,90E+12
2703;1992-01-01T00:00:00.000Z;1739523;rs121913625;Not available;Not available;Not available;Progress in familial hypertrophic cardiomyopathy: molecular genetic analyses in the original family studied by Teare.;British heart journal;4;4,90E+12
2704;1992-01-01T00:00:00.000Z;1560021;rs150516929;Not available;Not available;Not available;The predicted translation product of a cardiac AE3 mRNA contains an N terminus distinct from that of the brain AE3 Cl-/HCO3- exchanger. Cloning of a cardiac AE3 cDNA, organization of the AE3 gene, and identification of an alternative transcription initiation site.;The Journal of biological chemistry;4;4,90E+12
2705;1992-01-01T00:00:00.000Z;1584047;rs120074180;Not available;Not available;Not available;Simultaneous analysis for testing of models and parameter estimation.;Methods in enzymology;4;4,90E+12
2706;1992-01-01T00:00:00.000Z;1430197;rs121913628;Not available;Not available;Not available;Sporadic hypertrophic cardiomyopathy due to de novo myosin mutations.;The Journal of clinical investigation;4;4,90E+12
2707;1992-01-01T00:00:00.000Z;1430197;rs121913630;Not available;Not available;Not available;Sporadic hypertrophic cardiomyopathy due to de novo myosin mutations.;The Journal of clinical investigation;4;4,90E+12
2708;1992-01-01T00:00:00.000Z;1549596;rs398123839;Not available;Not available;Not available;Point mutations in the dystrophin gene.;Proceedings of the National Academy of Sciences of the United States of America;4;4,90E+12
2709;1992-01-01T00:00:00.000Z;1505163;rs137854600;Not available;Not available;Not available;The creatine kinase system in the serum of runners following a doubling of training mileage.;Clinical physiology (Oxford, England);4;4,90E+12
2710;1992-01-01T00:00:00.000Z;1631074;rs267606796;Not available;Not available;Not available;Two mutations in Marfan syndrome resulting in truncated fibrillin polypeptides.;Proceedings of the National Academy of Sciences of the United States of America;4;4,90E+12
2711;1992-01-01T00:00:00.000Z;1631074;rs397515861;Not available;Not available;Not available;Two mutations in Marfan syndrome resulting in truncated fibrillin polypeptides.;Proceedings of the National Academy of Sciences of the United States of America;4;4,90E+12
2712;1992-01-01T00:00:00.000Z;1301946;rs137854457;Not available;Not available;Not available;Clustering of fibrillin (FBN1) missense mutations in Marfan syndrome patients at cysteine residues in EGF-like domains.;Human mutation;4;4,90E+12
2713;1992-01-01T00:00:00.000Z;1301946;rs137854458;Not available;Not available;Not available;Clustering of fibrillin (FBN1) missense mutations in Marfan syndrome patients at cysteine residues in EGF-like domains.;Human mutation;4;4,90E+12
2714;1992-01-01T00:00:00.000Z;1301946;rs137854459;Not available;Not available;Not available;Clustering of fibrillin (FBN1) missense mutations in Marfan syndrome patients at cysteine residues in EGF-like domains.;Human mutation;4;4,90E+12
2715;1992-01-01T00:00:00.000Z;1301946;rs137854460;Not available;Not available;Not available;Clustering of fibrillin (FBN1) missense mutations in Marfan syndrome patients at cysteine residues in EGF-like domains.;Human mutation;4;4,90E+12
2716;1992-01-01T00:00:00.000Z;1546664;rs120074182;Not available;Not available;Not available;Intraaortic debris as a potential source of embolic stroke.;The American journal of cardiology;4;4,90E+12
2717;1992-01-01T00:00:00.000Z;1475667;rs120074179;Not available;Not available;Not available;_[Periodontitis and caries--__God's punishment__?]._;Schweizer Monatsschrift fur Zahnmedizin = Revue mensuelle suisse d'odonto-stomatologie = Rivista mensile svizzera di odontologia e stomatologia;4;4,90E+12
2718;1992-01-01T00:00:00.000Z;1569206;rs112989722;Not available;Not available;Not available;Marfan phenotype variability in a family segregating a missense mutation in the epidermal growth factor-like motif of the fibrillin gene.;The Journal of clinical investigation;4;4,90E+12
2719;1992-01-01T00:00:00.000Z;1569206;rs137854457;Not available;Not available;Not available;Marfan phenotype variability in a family segregating a missense mutation in the epidermal growth factor-like motif of the fibrillin gene.;The Journal of clinical investigation;4;4,90E+12
2720;1992-01-01T00:00:00.000Z;1569206;rs137854462;Not available;Not available;Not available;Marfan phenotype variability in a family segregating a missense mutation in the epidermal growth factor-like motif of the fibrillin gene.;The Journal of clinical investigation;4;4,90E+12
2721;1992-01-01T00:00:00.000Z;1569206;rs137854463;Not available;Not available;Not available;Marfan phenotype variability in a family segregating a missense mutation in the epidermal growth factor-like motif of the fibrillin gene.;The Journal of clinical investigation;4;4,90E+12
2722;1992-01-01T00:00:00.000Z;1569206;rs25404;Not available;Not available;Not available;Marfan phenotype variability in a family segregating a missense mutation in the epidermal growth factor-like motif of the fibrillin gene.;The Journal of clinical investigation;4;4,90E+12
2723;1992-01-01T00:00:00.000Z;1569206;rs794728213;Not available;Not available;Not available;Marfan phenotype variability in a family segregating a missense mutation in the epidermal growth factor-like motif of the fibrillin gene.;The Journal of clinical investigation;4;4,90E+12
2724;1979-01-01T00:00:00.000Z;158404;rs120074194;Not available;Not available;Not available;Vasoactive intestinal polypeptide (VIP): distribution in normal human brain and in Huntington's disease.;Brain research;4;4,09E+12
2725;1979-01-01T00:00:00.000Z;158404;rs199472921;Not available;Not available;Not available;Vasoactive intestinal polypeptide (VIP): distribution in normal human brain and in Huntington's disease.;Brain research;4;4,09E+12
2726;1979-01-01T00:00:00.000Z;158404;rs199473411;Not available;Not available;Not available;Vasoactive intestinal polypeptide (VIP): distribution in normal human brain and in Huntington's disease.;Brain research;4;4,09E+12
2727;1979-01-01T00:00:00.000Z;111505;rs199473317;Not available;Not available;Not available;Esophageal cancer: radiographic chest findings and their prognostic significance.;AJR. American journal of roentgenology;4;4,09E+12
2728;1979-01-01T00:00:00.000Z;118807;rs137854462;Not available;Not available;Not available;[Paroxysmal paresis associated with brain stem symptomatology - a new clinical entity?].;Ceskoslovenska neurologie a neurochirurgie;4;4,09E+12
2729;2013-01-01T00:00:00.000Z;22462493;rs104894503;Not available;Not available;Not available;Two founder mutations in the alpha-tropomyosin and the cardiac myosin-binding protein C genes are common causes of hypertrophic cardiomyopathy in the Finnish population.;Annals of medicine;4;3,71E+12
2730;2013-01-01T00:00:00.000Z;22462493;rs397516005;Not available;Not available;Not available;Two founder mutations in the alpha-tropomyosin and the cardiac myosin-binding protein C genes are common causes of hypertrophic cardiomyopathy in the Finnish population.;Annals of medicine;4;3,71E+12
2731;2013-01-01T00:00:00.000Z;23677059;rs2071225;Not available;Not available;Not available;Newborn screening for Fabry disease in Japan: prevalence and genotypes of Fabry disease in a pilot study.;Journal of human genetics;4;3,71E+12
2732;2013-01-01T00:00:00.000Z;23527136;rs201098973;Not available;Not available;Not available;Molecular modeling of disease causing mutations in domain C1 of cMyBP-C.;PloS one;4;3,71E+12
2733;2013-01-01T00:00:00.000Z;23804595;rs150840924;Not available;Not available;Not available;Progeroid laminopathy with restrictive dermopathy-like features caused by an isodisomic LMNA mutation p.R435C.;Aging;4;3,71E+12
2734;2013-01-01T00:00:00.000Z;23571586;rs199473157;Not available;Not available;Not available;Long QT syndrome-associated mutations in intrauterine fetal death.;JAMA;4;3,71E+12
2735;2013-01-01T00:00:00.000Z;23571586;rs45620037;Not available;Not available;Not available;Long QT syndrome-associated mutations in intrauterine fetal death.;JAMA;4;3,71E+12
2736;2013-01-01T00:00:00.000Z;23571586;rs12720457;Not available;Not available;Not available;Long QT syndrome-associated mutations in intrauterine fetal death.;JAMA;4;3,71E+12
2737;2013-01-01T00:00:00.000Z;23571586;rs199472776;Not available;Not available;Not available;Long QT syndrome-associated mutations in intrauterine fetal death.;JAMA;4;3,71E+12
2738;2013-01-01T00:00:00.000Z;23571586;rs45489199;Not available;Not available;Not available;Long QT syndrome-associated mutations in intrauterine fetal death.;JAMA;4;3,71E+12
2739;2013-01-01T00:00:00.000Z;23737487;rs727505017;Not available;Not available;Not available;C-RAF mutations confer resistance to RAF inhibitors.;Cancer research;4;3,71E+12
2740;2013-01-01T00:00:00.000Z;24367593;rs727503512;Not available;Not available;Not available;Effects of troponin T cardiomyopathy mutations on the calcium sensitivity of the regulated thin filament and the actomyosin cross-bridge kinetics of human Î²-cardiac myosin.;PloS one;4;3,71E+12
2741;2013-01-01T00:00:00.000Z;24367593;rs727503512;Not available;Not available;Not available;Effects of troponin T cardiomyopathy mutations on the calcium sensitivity of the regulated thin filament and the actomyosin cross-bridge kinetics of human ?-cardiac myosin.;PloS one;4;3,71E+12
2742;2013-01-01T00:00:00.000Z;24367593;rs74315379;Not available;Not available;Not available;Effects of troponin T cardiomyopathy mutations on the calcium sensitivity of the regulated thin filament and the actomyosin cross-bridge kinetics of human Î²-cardiac myosin.;PloS one;4;3,71E+12
2743;2013-01-01T00:00:00.000Z;24367593;rs74315379;Not available;Not available;Not available;Effects of troponin T cardiomyopathy mutations on the calcium sensitivity of the regulated thin filament and the actomyosin cross-bridge kinetics of human ?-cardiac myosin.;PloS one;4;3,71E+12
2744;2013-01-01T00:00:00.000Z;23674365;rs727504245;Not available;Not available;Not available;A systematic review and meta-analysis of genotype-phenotype associations in patients with hypertrophic cardiomyopathy caused by sarcomeric protein mutations.;Heart (British Cardiac Society);4;3,71E+12
2745;2013-01-01T00:00:00.000Z;23990795;rs17125721;Not available;Not available;Not available;The PSEN1, p.E318G variant increases the risk of Alzheimer's disease in APOE-Îµ4 carriers.;PLoS genetics;4;3,71E+12
2746;2013-01-01T00:00:00.000Z;23757202;rs1028360;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2747;2013-01-01T00:00:00.000Z;23757202;rs104894797;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2748;2013-01-01T00:00:00.000Z;23757202;rs1053651;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2749;2013-01-01T00:00:00.000Z;23757202;rs1058261;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2750;2013-01-01T00:00:00.000Z;23757202;rs1058284;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2751;2013-01-01T00:00:00.000Z;23757202;rs112562759;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2752;2013-01-01T00:00:00.000Z;23757202;rs11264444;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2753;2013-01-01T00:00:00.000Z;23757202;rs113726961;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2754;2013-01-01T00:00:00.000Z;23757202;rs11549668;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2755;2013-01-01T00:00:00.000Z;23757202;rs11900987;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2756;2013-01-01T00:00:00.000Z;23757202;rs12117552;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2757;2013-01-01T00:00:00.000Z;23757202;rs12463674;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2758;2013-01-01T00:00:00.000Z;23757202;rs12471771;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2759;2013-01-01T00:00:00.000Z;23757202;rs12474306;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2760;2013-01-01T00:00:00.000Z;23757202;rs12920;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2761;2013-01-01T00:00:00.000Z;23757202;rs1318299;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2762;2013-01-01T00:00:00.000Z;23757202;rs13324293;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2763;2013-01-01T00:00:00.000Z;23757202;rs138331646;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2764;2013-01-01T00:00:00.000Z;23757202;rs138968178;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2765;2013-01-01T00:00:00.000Z;23757202;rs139223781;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2766;2013-01-01T00:00:00.000Z;23757202;rs139506970;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2767;2013-01-01T00:00:00.000Z;23757202;rs139512154;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2768;2013-01-01T00:00:00.000Z;23757202;rs140640738;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2769;2013-01-01T00:00:00.000Z;23757202;rs140663434;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2770;2013-01-01T00:00:00.000Z;23757202;rs141392048;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2771;2013-01-01T00:00:00.000Z;23757202;rs142441725;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2772;2013-01-01T00:00:00.000Z;23757202;rs142891278;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2773;2013-01-01T00:00:00.000Z;23757202;rs143159113;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2774;2013-01-01T00:00:00.000Z;23757202;rs143368674;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2775;2013-01-01T00:00:00.000Z;23757202;rs143628111;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2776;2013-01-01T00:00:00.000Z;23757202;rs143978652;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2777;2013-01-01T00:00:00.000Z;23757202;rs144668626;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2778;2013-01-01T00:00:00.000Z;23757202;rs145603325;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2779;2013-01-01T00:00:00.000Z;23757202;rs146163169;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2780;2013-01-01T00:00:00.000Z;23757202;rs146181477;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2781;2013-01-01T00:00:00.000Z;23757202;rs146502276;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2782;2013-01-01T00:00:00.000Z;23757202;rs146627500;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2783;2013-01-01T00:00:00.000Z;23757202;rs147356378;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2784;2013-01-01T00:00:00.000Z;23757202;rs148617456;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2785;2013-01-01T00:00:00.000Z;23757202;rs148849567;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2786;2013-01-01T00:00:00.000Z;23757202;rs149001703;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2787;2013-01-01T00:00:00.000Z;23757202;rs149375775;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2788;2013-01-01T00:00:00.000Z;23757202;rs149470241;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2789;2013-01-01T00:00:00.000Z;23757202;rs149523263;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2790;2013-01-01T00:00:00.000Z;23757202;rs149567378;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2791;2013-01-01T00:00:00.000Z;23757202;rs149855485;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2792;2013-01-01T00:00:00.000Z;23757202;rs150430592;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2793;2013-01-01T00:00:00.000Z;23757202;rs150661999;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2794;2013-01-01T00:00:00.000Z;23757202;rs16866391;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2795;2013-01-01T00:00:00.000Z;23757202;rs16866423;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2796;2013-01-01T00:00:00.000Z;23757202;rs16866467;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2797;2013-01-01T00:00:00.000Z;23757202;rs16990169;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2798;2013-01-01T00:00:00.000Z;23757202;rs16990264;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2799;2013-01-01T00:00:00.000Z;23757202;rs17309806;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2800;2013-01-01T00:00:00.000Z;23757202;rs1800264;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2801;2013-01-01T00:00:00.000Z;23757202;rs1800265;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2802;2013-01-01T00:00:00.000Z;23757202;rs1800267;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2803;2013-01-01T00:00:00.000Z;23757202;rs1800269;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2804;2013-01-01T00:00:00.000Z;23757202;rs1800273;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2805;2013-01-01T00:00:00.000Z;23757202;rs1800278;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2806;2013-01-01T00:00:00.000Z;23757202;rs1800279;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2807;2013-01-01T00:00:00.000Z;23757202;rs1800281;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2808;2013-01-01T00:00:00.000Z;23757202;rs1801187;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2809;2013-01-01T00:00:00.000Z;23757202;rs1801188;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2810;2013-01-01T00:00:00.000Z;23757202;rs1801193;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2811;2013-01-01T00:00:00.000Z;23757202;rs181206334;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2812;2013-01-01T00:00:00.000Z;23757202;rs181717727;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2813;2013-01-01T00:00:00.000Z;23757202;rs183620684;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2814;2013-01-01T00:00:00.000Z;23757202;rs184412722;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2815;2013-01-01T00:00:00.000Z;23757202;rs185062935;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2816;2013-01-01T00:00:00.000Z;23757202;rs185683410;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2817;2013-01-01T00:00:00.000Z;23757202;rs185706283;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2818;2013-01-01T00:00:00.000Z;23757202;rs186273940;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2819;2013-01-01T00:00:00.000Z;23757202;rs188370772;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2820;2013-01-01T00:00:00.000Z;23757202;rs188584219;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2821;2013-01-01T00:00:00.000Z;23757202;rs188917199;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2822;2013-01-01T00:00:00.000Z;23757202;rs190935632;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2823;2013-01-01T00:00:00.000Z;23757202;rs190967471;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2824;2013-01-01T00:00:00.000Z;23757202;rs191484894;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2825;2013-01-01T00:00:00.000Z;23757202;rs192002980;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2826;2013-01-01T00:00:00.000Z;23757202;rs193249735;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2827;2013-01-01T00:00:00.000Z;23757202;rs196295;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2828;2013-01-01T00:00:00.000Z;23757202;rs199506676;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2829;2013-01-01T00:00:00.000Z;23757202;rs199615557;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2830;2013-01-01T00:00:00.000Z;23757202;rs199784966;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2831;2013-01-01T00:00:00.000Z;23757202;rs200025478;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2832;2013-01-01T00:00:00.000Z;23757202;rs200181804;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2833;2013-01-01T00:00:00.000Z;23757202;rs200350579;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2834;2013-01-01T00:00:00.000Z;23757202;rs200692495;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2835;2013-01-01T00:00:00.000Z;23757202;rs200899806;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2836;2013-01-01T00:00:00.000Z;23757202;rs200992277;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
2837;2013-01-01T00:00:00.000Z;23757202;rs201043950;Not available;Not available;Not available;Free the data: one laboratory's approach to knowledge-based genomic variant classification and preparation for EMR integration of genomic data.;Human mutation;4;3,71E+12
