row_number;phenotype;db_variation_id;phenotype_category;category;phenotype_id
4491;Dilated cardiomyopathy 1G;rs1553645836;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4492;Dilated cardiomyopathy 1G;rs1553970119;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4493;Dilated cardiomyopathy with woolly hair and keratoderma;rs1554108091;Dilated cardiomyopathy;Cardiomyopathies;4,12E+11
4494;Dilated cardiomyopathy 1W;rs1554817846;Dilated cardiomyopathy;Cardiomyopathies;1,27E+12
4495;Dilated cardiomyopathy 1JJ;rs181787647;Dilated cardiomyopathy;Cardiomyopathies;6,01E+11
4496;Dilated cardiomyopathy 1G;rs199557654;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4497;Dilated cardiomyopathy 1G;rs201657835;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4498;Dilated cardiomyopathy 1G;rs202094100;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4499;Dilated cardiomyopathy 1AA;rs34975493;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4500;Dilated cardiomyopathy 1G;rs369826752;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4501;Dilated cardiomyopathy 1G;rs370496599;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4502;Dilated cardiomyopathy 1G;rs371030086;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4503;Dilated cardiomyopathy 1G;rs373988162;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4504;Dilated cardiomyopathy 1G;rs530572005;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4505;Dilated cardiomyopathy 1KK;rs550455783;Dilated cardiomyopathy;Cardiomyopathies;1,37E+12
4506;Dilated cardiomyopathy 1G;rs571602215;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4507;Primary dilated cardiomyopathy;rs587782927;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
4508;Dilated cardiomyopathy 1G;rs72650053;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4509;Dilated cardiomyopathy 1G;rs72677237;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4510;Dilated cardiomyopathy with woolly hair and keratoderma;rs748400605;Dilated cardiomyopathy;Cardiomyopathies;4,12E+11
4511;Dilated cardiomyopathy 1J;rs755795461;Dilated cardiomyopathy;Cardiomyopathies;3,61E+11
4512;Primary dilated cardiomyopathy;rs767420661;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
4513;Dilated cardiomyopathy 1G;rs773027240;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4514;Dilated cardiomyopathy 1G;rs773447539;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4515;Dilated cardiomyopathy 1G;rs778364983;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4516;Dilated cardiomyopathy 1G;rs779926164;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4517;Primary dilated cardiomyopathy;rs869312079;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
4518;Dilated cardiomyopathy 1KK;rs876657537;Dilated cardiomyopathy;Cardiomyopathies;1,37E+12
4519;Dilated cardiomyopathy 1G;rs878854298;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4520;Dilated cardiomyopathy 1G;rs964263107;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4521;Familial hypertrophic cardiomyopathy 11;rs121912673;Hypertrophic cardiomyopathy;Cardiomyopathies;1,11E+12
4522;Hypertrophic cardiomyopathy;rs140003804;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4523;Hypertrophic cardiomyopathy;rs141856116;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4524;Familial hypertrophic cardiomyopathy 4;rs147315081;Hypertrophic cardiomyopathy;Cardiomyopathies;7,65E+11
4525;Hypertrophic cardiomyopathy;rs1555121454;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4526;Hypertrophic cardiomyopathy;rs1555337794;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4527;Hypertrophic cardiomyopathy;rs1555338254;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4528;Primary familial hypertrophic cardiomyopathy;rs193922382;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
4529;Hypertrophic cardiomyopathy;rs201155967;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4530;Familial hypertrophic cardiomyopathy 1;rs3729823;Hypertrophic cardiomyopathy;Cardiomyopathies;9,02E+11
4531;Familial hypertrophic cardiomyopathy 1;rs397516155;Hypertrophic cardiomyopathy;Cardiomyopathies;9,02E+11
4532;Hypertrophic cardiomyopathy;rs434273;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4533;Hypertrophic cardiomyopathy;rs566339669;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4534;Hypertrophic cardiomyopathy;rs72647848;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4535;Hypertrophic cardiomyopathy;rs727503254;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4536;Hypertrophic cardiomyopathy;rs727503261;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4537;Familial hypertrophic cardiomyopathy 14;rs751153777;Hypertrophic cardiomyopathy;Cardiomyopathies;7,82E+11
4538;Hypertrophic cardiomyopathy;rs753997345;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4539;Hypertrophic cardiomyopathy;rs758109676;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4540;Hypertrophic cardiomyopathy;rs886046531;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4541;Hypertrophic cardiomyopathy;rs886048100;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4542;Hypertrophic cardiomyopathy;rs886055265;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4543;Familial Hypertrophic Cardiomyopathy with Wolff-Parkinson-White Syndrome;rs886062107;Hypertrophic cardiomyopathy;Cardiomyopathies;6,44E+11
4544;Hypertrophic cardiomyopathy;rs975386272;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4545;Hypertrophic cardiomyopathy;rs141017311;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4546;Primary familial hypertrophic cardiomyopathy;rs149585781;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
4547;Familial hypertrophic cardiomyopathy 12;rs1565049312;Hypertrophic cardiomyopathy;Cardiomyopathies;2,92E+11
4548;Hypertrophic cardiomyopathy;rs1566534775;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4549;Hypertrophic cardiomyopathy;rs1567958675;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4550;Familial hypertrophic cardiomyopathy 9;rs375640847;Hypertrophic cardiomyopathy;Cardiomyopathies;1,62E+12
4551;Familial hypertrophic cardiomyopathy 20;rs397517847;Hypertrophic cardiomyopathy;Cardiomyopathies;4,98E+11
4552;Primary familial hypertrophic cardiomyopathy;rs727503297;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
4553;Long QT syndrome;rs1060503446;Long QT syndrome;Cardiomyopathies;1,29E+11
4554;Long QT syndrome 11;rs1063242;Long QT syndrome;Cardiomyopathies;1,31E+12
4555;Long QT syndrome;rs140366118;Long QT syndrome;Cardiomyopathies;1,29E+11
4556;Long QT syndrome;rs150102469;Long QT syndrome;Cardiomyopathies;1,29E+11
4557;Long QT syndrome;rs1555857966;Long QT syndrome;Cardiomyopathies;1,29E+11
4558;Long QT syndrome;rs16991703;Long QT syndrome;Cardiomyopathies;1,29E+11
4559;Long QT syndrome 1;rs1800171;Long QT syndrome;Cardiomyopathies;1,21E+12
4560;Long QT syndrome;rs185594755;Long QT syndrome;Cardiomyopathies;1,29E+11
4561;Long QT syndrome 6;rs187917779;Long QT syndrome;Cardiomyopathies;1,29E+11
4562;Congenital long QT syndrome;rs199472690;Long QT syndrome;Cardiomyopathies;1,40E+12
4563;Congenital long QT syndrome;rs199472768;Long QT syndrome;Cardiomyopathies;1,40E+12
4564;Long QT syndrome;rs199472800;Long QT syndrome;Cardiomyopathies;1,29E+11
4565;Congenital long QT syndrome;rs199472825;Long QT syndrome;Cardiomyopathies;1,40E+12
4566;Congenital long QT syndrome;rs199473076;Long QT syndrome;Cardiomyopathies;1,40E+12
4567;Long QT syndrome;rs199473084;Long QT syndrome;Cardiomyopathies;1,29E+11
4568;Congenital long QT syndrome;rs28928904;Long QT syndrome;Cardiomyopathies;1,40E+12
4569;Long QT syndrome;rs367860917;Long QT syndrome;Cardiomyopathies;1,29E+11
4570;Long QT syndrome 3;rs41311117;Long QT syndrome;Cardiomyopathies;1,57E+12
4571;Long QT syndrome;rs41312081;Long QT syndrome;Cardiomyopathies;1,29E+11
4572;Long QT syndrome;rs559032799;Long QT syndrome;Cardiomyopathies;1,29E+11
4573;Long QT syndrome;rs747800763;Long QT syndrome;Cardiomyopathies;1,29E+11
4574;Catecholaminergic polymorphic ventricular tachycardia;rs1356215434;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
4575;Catecholaminergic polymorphic ventricular tachycardia;rs139281637;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
4576;Catecholaminergic polymorphic ventricular tachycardia;rs1553265823;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
4577;Ventricular tachycardia, catecholaminergic polymorphic, 2;rs77775029;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;3,26E+11
4578;Catecholaminergic polymorphic ventricular tachycardia;rs780891381;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
4579;Catecholaminergic polymorphic ventricular tachycardia;rs886046277;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
4580;Marfan syndrome;rs112189340;Marfan syndrome;Cardiomyopathies;2,83E+11
4581;Marfan syndrome;rs140592;Marfan syndrome;Cardiomyopathies;2,83E+11
4582;Marfan syndrome;rs1555395188;Marfan syndrome;Cardiomyopathies;2,83E+11
4583;Marfan syndrome;rs1555395257;Marfan syndrome;Cardiomyopathies;2,83E+11
4584;Marfan syndrome;rs1566918060;Marfan syndrome;Cardiomyopathies;2,83E+11
4585;Marfan syndrome;rs368979510;Marfan syndrome;Cardiomyopathies;2,83E+11
4586;Marfan syndrome;rs747069454;Marfan syndrome;Cardiomyopathies;2,83E+11
4587;Marfan syndrome;rs748055037;Marfan syndrome;Cardiomyopathies;2,83E+11
4588;Brugada syndrome 8;rs1060500102;Brugada syndrome;Cardiomyopathies;9,62E+11
4589;Brugada syndrome 8;rs117819825;Brugada syndrome;Cardiomyopathies;9,62E+11
4590;Brugada syndrome;rs1275085;Brugada syndrome;Cardiomyopathies;7,04E+11
4591;Brugada syndrome 1;rs137854615;Brugada syndrome;Cardiomyopathies;2,41E+11
4592;Brugada syndrome;rs146882581;Brugada syndrome;Cardiomyopathies;7,04E+11
4593;Brugada syndrome;rs1553692660;Brugada syndrome;Cardiomyopathies;7,04E+11
4594;Brugada syndrome;rs187815725;Brugada syndrome;Cardiomyopathies;7,04E+11
4595;Brugada syndrome, lidocaine-induced;rs41313031;Brugada syndrome;Cardiomyopathies;17179869507
4596;Loeys-Dietz syndrome 2;rs760685984;Loeys-Dietz syndrome;Cardiomyopathies;6,36E+11
4597;Familial restrictive cardiomyopathy 1;rs104894729;Restrictive cardiomyopathy;Cardiomyopathies;1,58E+12
4598;Familial restrictive cardiomyopathy 3;rs121964860;Restrictive cardiomyopathy;Cardiomyopathies;1,80E+11
4599;Familial restrictive cardiomyopathy 3;rs147940106;Restrictive cardiomyopathy;Cardiomyopathies;1,80E+11
4600;Familial restrictive cardiomyopathy 3;rs483352832;Restrictive cardiomyopathy;Cardiomyopathies;1,80E+11
4601;Restrictive cardiomyopathy;rs730880154;Restrictive cardiomyopathy;Cardiomyopathies;1,61E+12
4602;Dilated cardiomyopathy 1G;rs1060500410;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4603;Dilated cardiomyopathy 1KK;rs1060503575;Dilated cardiomyopathy;Cardiomyopathies;1,37E+12
4604;Dilated cardiomyopathy 1KK;rs1060504954;Dilated cardiomyopathy;Cardiomyopathies;1,37E+12
4605;Dilated cardiomyopathy 1G;rs1282647790;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4606;Dilated cardiomyopathy 1G;rs140640738;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4607;Dilated cardiomyopathy with woolly hair and keratoderma;rs142429411;Dilated cardiomyopathy;Cardiomyopathies;4,12E+11
4608;Dilated cardiomyopathy 1G;rs142794598;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4609;Dilated cardiomyopathy with woolly hair and keratoderma;rs145362059;Dilated cardiomyopathy;Cardiomyopathies;4,12E+11
4610;Dilated cardiomyopathy 1G;rs150902810;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4611;Dilated cardiomyopathy 1G;rs1553565316;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4612;Dilated cardiomyopathy 1Z;rs1553651640;Dilated cardiomyopathy;Cardiomyopathies;9,62E+11
4613;Dilated cardiomyopathy 1G;rs1553708222;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4614;Dilated cardiomyopathy 1G;rs1553937057;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4615;Dilated cardiomyopathy 1L;rs1554137130;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4616;Primary dilated cardiomyopathy;rs185873503;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
4617;Dilated cardiomyopathy 1AA;rs201545916;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4618;Dilated cardiomyopathy 1O;rs201848437;Dilated cardiomyopathy;Cardiomyopathies;7,30E+11
4619;Dilated cardiomyopathy 1KK;rs2200897;Dilated cardiomyopathy;Cardiomyopathies;1,37E+12
4620;Dilated cardiomyopathy 1G;rs2562849;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4621;Dilated cardiomyopathy 1CC;rs35117963;Dilated cardiomyopathy;Cardiomyopathies;1,25E+12
4622;Dilated cardiomyopathy 1G;rs369269320;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4623;Primary dilated cardiomyopathy;rs371564200;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
4624;Dilated cardiomyopathy 3B;rs373281760;Dilated cardiomyopathy;Cardiomyopathies;5,58E+11
4625;Dilated cardiomyopathy 1AA;rs3738546;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4626;Dilated cardiomyopathy 1G;rs375640847;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4627;Dilated cardiomyopathy 1G;rs376403373;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4628;Dilated cardiomyopathy 1G;rs377000174;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4629;Dilated cardiomyopathy 1G;rs564536939;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4630;Dilated cardiomyopathy 1G;rs578191491;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4631;Familial isolated dilated cardiomyopathy;rs74315379;Dilated cardiomyopathy;Cardiomyopathies;5,33E+11
4632;Primary dilated cardiomyopathy;rs746588865;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
4633;Primary dilated cardiomyopathy;rs747607700;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
4634;Dilated cardiomyopathy 1DD;rs749285793;Dilated cardiomyopathy;Cardiomyopathies;1,02E+12
4635;Dilated cardiomyopathy 1G;rs763596594;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4636;Dilated cardiomyopathy 1G;rs764203267;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4637;Dilated cardiomyopathy 1G;rs765030518;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4638;Dilated cardiomyopathy 1G;rs774339883;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4639;Dilated cardiomyopathy 1G;rs779966449;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4640;Dilated cardiomyopathy 1JJ;rs797025921;Dilated cardiomyopathy;Cardiomyopathies;6,01E+11
4641;Idiopathic dilated cardiomyopathy;rs8047442;Dilated cardiomyopathy;Cardiomyopathies;5,67E+11
4642;Primary dilated cardiomyopathy;rs869312081;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
4643;Hypertrophic cardiomyopathy;rs1060501447;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4644;Familial hypertrophic cardiomyopathy 14;rs149734381;Hypertrophic cardiomyopathy;Cardiomyopathies;7,82E+11
4645;Hypertrophic cardiomyopathy;rs149855485;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4646;Hypertrophic cardiomyopathy;rs184247243;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4647;Primary familial hypertrophic cardiomyopathy;rs193922391;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
4648;Hypertrophic cardiomyopathy;rs200689750;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4649;Hypertrophic cardiomyopathy;rs201030806;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4650;Primary familial hypertrophic cardiomyopathy;rs267607581;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
4651;Hypertrophic cardiomyopathy;rs28763979;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4652;Hypertrophic cardiomyopathy;rs373443384;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4653;Hypertrophic cardiomyopathy;rs3829746;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4654;Primary familial hypertrophic cardiomyopathy;rs386134228;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
4655;Hypertrophic cardiomyopathy;rs397516016;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4656;Hypertrophic cardiomyopathy;rs397516077;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4657;Familial hypertrophic cardiomyopathy 4;rs397516079;Hypertrophic cardiomyopathy;Cardiomyopathies;7,65E+11
4658;Hypertrophic cardiomyopathy;rs397516151;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4659;Hypertrophic cardiomyopathy;rs543389794;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4660;Hypertrophic cardiomyopathy;rs56404770;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4661;Familial hypertrophic cardiomyopathy 10;rs730880943;Hypertrophic cardiomyopathy;Cardiomyopathies;4,98E+11
4662;Hypertrophic cardiomyopathy;rs746758304;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4663;Familial hypertrophic cardiomyopathy 14;rs765861895;Hypertrophic cardiomyopathy;Cardiomyopathies;7,82E+11
4664;Hypertrophic cardiomyopathy;rs775089432;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4665;Hypertrophic cardiomyopathy;rs886055285;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4666;Primary familial hypertrophic cardiomyopathy;rs146445537;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
4667;Primary familial hypertrophic cardiomyopathy;rs397516585;Hypertrophic cardiomyopathy;Cardiomyopathies;2,23E+11
4668;Hypertrophic cardiomyopathy;rs397516738;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4669;Hypertrophic cardiomyopathy;rs397516752;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4670;Hypertrophic cardiomyopathy;rs876657883;Hypertrophic cardiomyopathy;Cardiomyopathies;1,68E+12
4671;Long QT syndrome;rs144615758;Long QT syndrome;Cardiomyopathies;1,29E+11
4672;Long QT syndrome 1;rs145229963;Long QT syndrome;Cardiomyopathies;1,21E+12
4673;Long QT syndrome 1;rs146819515;Long QT syndrome;Cardiomyopathies;1,21E+12
4674;Long QT syndrome;rs150711844;Long QT syndrome;Cardiomyopathies;1,29E+11
4675;Long QT syndrome;rs1554536556;Long QT syndrome;Cardiomyopathies;1,29E+11
4676;Long QT syndrome;rs1554893236;Long QT syndrome;Cardiomyopathies;1,29E+11
4677;Congenital long QT syndrome;rs199472940;Long QT syndrome;Cardiomyopathies;1,40E+12
4678;Congenital long QT syndrome;rs199473257;Long QT syndrome;Cardiomyopathies;1,40E+12
4679;Long QT syndrome;rs199591964;Long QT syndrome;Cardiomyopathies;1,29E+11
4680;Long QT syndrome;rs200231105;Long QT syndrome;Cardiomyopathies;1,29E+11
4681;Long QT syndrome;rs201977551;Long QT syndrome;Cardiomyopathies;1,29E+11
4682;Long QT syndrome;rs370630496;Long QT syndrome;Cardiomyopathies;1,29E+11
4683;Long QT syndrome;rs3796928;Long QT syndrome;Cardiomyopathies;1,29E+11
4684;Long QT syndrome;rs72901936;Long QT syndrome;Cardiomyopathies;1,29E+11
4685;Congenital long QT syndrome;rs74462309;Long QT syndrome;Cardiomyopathies;1,40E+12
4686;Long QT syndrome;rs754883792;Long QT syndrome;Cardiomyopathies;1,29E+11
4687;Long QT syndrome;rs7629329;Long QT syndrome;Cardiomyopathies;1,29E+11
4688;Long QT syndrome;rs764094211;Long QT syndrome;Cardiomyopathies;1,29E+11
4689;Long QT syndrome;rs773832706;Long QT syndrome;Cardiomyopathies;1,29E+11
4690;Long QT syndrome;rs779315017;Long QT syndrome;Cardiomyopathies;1,29E+11
4691;Long QT syndrome;rs786205746;Long QT syndrome;Cardiomyopathies;1,29E+11
4692;Long QT syndrome;rs794728403;Long QT syndrome;Cardiomyopathies;1,29E+11
4693;Catecholaminergic polymorphic ventricular tachycardia;rs1257768473;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
4694;Catecholaminergic polymorphic ventricular tachycardia;rs202241842;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
4695;Catecholaminergic polymorphic ventricular tachycardia;rs767679867;Catecholaminergic polymorphic ventricular tachycardia;Cardiomyopathies;9,45E+11
4696;Marfan syndrome;rs1057519502;Marfan syndrome;Cardiomyopathies;2,83E+11
4697;Marfan syndrome;rs1064794282;Marfan syndrome;Cardiomyopathies;2,83E+11
4698;Marfan syndrome;rs113080385;Marfan syndrome;Cardiomyopathies;2,83E+11
4699;Marfan syndrome;rs113422242;Marfan syndrome;Cardiomyopathies;2,83E+11
4700;Marfan syndrome, neonatal;rs137854478;Marfan syndrome;Cardiomyopathies;8,07E+11
4701;Marfan syndrome;rs140954477;Marfan syndrome;Cardiomyopathies;2,83E+11
4702;Marfan syndrome;rs1555395829;Marfan syndrome;Cardiomyopathies;2,83E+11
4703;Marfan syndrome;rs1555397199;Marfan syndrome;Cardiomyopathies;2,83E+11
4704;Marfan syndrome;rs1555398144;Marfan syndrome;Cardiomyopathies;2,83E+11
4705;Marfan syndrome;rs1555398520;Marfan syndrome;Cardiomyopathies;2,83E+11
4706;Marfan syndrome;rs1555400288;Marfan syndrome;Cardiomyopathies;2,83E+11
4707;Marfan syndrome;rs372333234;Marfan syndrome;Cardiomyopathies;2,83E+11
4708;Marfan syndrome;rs878853684;Marfan syndrome;Cardiomyopathies;2,83E+11
4709;Brugada syndrome;rs114210134;Brugada syndrome;Cardiomyopathies;7,04E+11
4710;Brugada syndrome;rs148041371;Brugada syndrome;Cardiomyopathies;7,04E+11
4711;Brugada syndrome;rs200817801;Brugada syndrome;Cardiomyopathies;7,04E+11
4712;Brugada syndrome;rs61746118;Brugada syndrome;Cardiomyopathies;7,04E+11
4713;Brugada syndrome;rs751252167;Brugada syndrome;Cardiomyopathies;7,04E+11
4714;Brugada syndrome;rs761505485;Brugada syndrome;Cardiomyopathies;7,04E+11
4715;Brugada syndrome;rs764965507;Brugada syndrome;Cardiomyopathies;7,04E+11
4716;Brugada syndrome;rs772258197;Brugada syndrome;Cardiomyopathies;7,04E+11
4717;Marfan Syndrome/Loeys-Dietz Syndrome/Familial Thoracic Aortic Aneurysms and Dissections;rs1555396417;Loeys-Dietz syndrome;Cardiomyopathies;1,04E+12
4718;Loeys-Dietz syndrome;rs3739798;Loeys-Dietz syndrome;Cardiomyopathies;1,23E+12
4719;Loeys-Dietz syndrome 5;rs398122984;Loeys-Dietz syndrome;Cardiomyopathies;2,15E+11
4720;Loeys-Dietz syndrome;rs886051398;Loeys-Dietz syndrome;Cardiomyopathies;1,23E+12
4721;short QT syndrome;rs11601907;Short QT syndrome;Cardiomyopathies;8,07E+11
4722;Short QT syndrome 3;rs1555603955;Short QT syndrome;Cardiomyopathies;9,45E+11
4723;Short QT syndrome 2;rs370435862;Short QT syndrome;Cardiomyopathies;2,66E+11
4724;Dilated cardiomyopathy 1G;rs1012905833;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4725;Dilated cardiomyopathy 1Y;rs104894505;Dilated cardiomyopathy;Cardiomyopathies;1,66E+12
4726;Dilated cardiomyopathy 1T;rs1060499573;Dilated cardiomyopathy;Cardiomyopathies;7,13E+11
4727;Dilated cardiomyopathy 1G;rs1060500492;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4728;Dilated cardiomyopathy 1G;rs1060500519;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4729;Dilated cardiomyopathy 1G;rs1060500585;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4730;Dilated cardiomyopathy 1G;rs1060503927;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4731;Dilated cardiomyopathy 1G;rs115070904;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4732;Dilated cardiomyopathy 1G;rs1240256366;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4733;Dilated cardiomyopathy with woolly hair and keratoderma;rs138907450;Dilated cardiomyopathy;Cardiomyopathies;4,12E+11
4734;ANKRD1-related dilated cardiomyopathy;rs145387010;Dilated cardiomyopathy;Cardiomyopathies;4,12E+11
4735;Dilated cardiomyopathy 1G;rs1553907020;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4736;Dilated cardiomyopathy 1KK;rs1554839439;Dilated cardiomyopathy;Cardiomyopathies;1,37E+12
4737;Primary dilated cardiomyopathy;rs1554875409;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
4738;Primary dilated cardiomyopathy;rs201913959;Dilated cardiomyopathy;Cardiomyopathies;4,04E+11
4739;Dilated cardiomyopathy 1G;rs267599072;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4740;Dilated cardiomyopathy 1KK;rs2817760;Dilated cardiomyopathy;Cardiomyopathies;1,37E+12
4741;Dilated cardiomyopathy 1G;rs368081453;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4742;Dilated cardiomyopathy 1G;rs370771532;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4743;Dilated cardiomyopathy 1DD;rs375798246;Dilated cardiomyopathy;Cardiomyopathies;1,02E+12
4744;Dilated cardiomyopathy 1G;rs376371272;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4745;Dilated cardiomyopathy 1DD;rs376380567;Dilated cardiomyopathy;Cardiomyopathies;1,02E+12
4746;Dilated cardiomyopathy 1G;rs543223589;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4747;Dilated cardiomyopathy 1G;rs55659506;Dilated cardiomyopathy;Cardiomyopathies;1,55E+12
4748;Dilated cardiomyopathy 1II;rs561116151;Dilated cardiomyopathy;Cardiomyopathies;2,75E+11
